Class,Precision,Recall,F1-Score,Support
Apple Scab,0.8461538461538461,0.8301886792452831,0.8380952380952381,53.0
Apple Black Rot,0.8181818181818182,0.8852459016393442,0.8503937007874016,61.0
Apple Cedar Rust,0.9230769230769231,0.8727272727272727,0.897196261682243,55.0
Apple Healthy,0.8163265306122449,0.8163265306122449,0.8163265306122449,49.0
Background,0.84,0.7924528301886793,0.8155339805825242,53.0
Blueberry Healthy,0.8448275862068966,0.875,0.8596491228070176,56.0
Cherry Powdery Mildew,0.8823529411764706,0.7142857142857143,0.7894736842105263,42.0
Cherry Healthy,0.8870967741935484,0.873015873015873,0.88,63.0
Corn Leaf Spot,0.7333333333333333,0.8979591836734694,0.8073394495412844,49.0
Corn Rust,0.8888888888888888,0.851063829787234,0.8695652173913043,47.0
Corn Blight,0.8846153846153846,0.8846153846153846,0.8846153846153846,52.0
Corn Healthy,0.8363636363636363,0.7931034482758621,0.8141592920353983,58.0
Grape Black Rot,0.875,0.84,0.8571428571428571,50.0
Grape Esca,0.9019607843137255,0.8518518518518519,0.8761904761904762,54.0
Grape Leaf Blight,0.8571428571428571,0.8888888888888888,0.8727272727272727,54.0
Grape Healthy,0.8163265306122449,0.8695652173913043,0.8421052631578947,46.0
Orange Greening,0.92,0.8679245283018868,0.8932038834951457,53.0
Peach Bacterial Spot,0.7636363636363637,0.8235294117647058,0.7924528301886793,51.0
Peach Healthy,0.8181818181818182,0.8571428571428571,0.8372093023255814,42.0
Pepper Bacterial Spot,0.875,0.8235294117647058,0.8484848484848485,51.0
Pepper Healthy,0.7543859649122807,0.8775510204081632,0.8113207547169812,49.0
Potato Early Blight,0.7833333333333333,0.8867924528301887,0.831858407079646,53.0
Potato Late Blight,0.8333333333333334,0.8035714285714286,0.8181818181818182,56.0
Potato Healthy,0.875,0.9074074074074074,0.8909090909090909,54.0
Squash Powdery Mildew,0.9344262295081968,0.8769230769230769,0.9047619047619048,65.0
Strawberry Leaf Scorch,0.9117647058823529,0.8985507246376812,0.9051094890510949,69.0
Strawberry Healthy,0.7777777777777778,0.7567567567567568,0.7671232876712328,37.0
Tomato Bacterial Spot,0.8596491228070176,0.875,0.8672566371681416,56.0
Tomato Early Blight,0.7966101694915254,0.7580645161290323,0.7768595041322314,62.0
Tomato Late Blight,0.7857142857142857,0.8148148148148148,0.8,54.0
Tomato Leaf Mold,0.825,0.825,0.825,40.0
Tomato Septoria,0.8793103448275862,0.85,0.864406779661017,60.0
Tomato Spider Mites,0.8636363636363636,0.8636363636363636,0.8636363636363636,66.0
Tomato Target Spot,0.8596491228070176,0.875,0.8672566371681416,56.0
Tomato TYLCV,0.8833333333333333,0.8153846153846154,0.848,65.0
Tomato Mosaic Virus,0.8666666666666667,0.9285714285714286,0.896551724137931,56.0
Tomato Healthy,0.8983050847457628,0.8412698412698413,0.8688524590163934,63.0
